trip_distance,passenger_count,tip_amount
1.08,1,0.0
2.17,1,0.0
1.53,3,2.95
2.43,1,0.0
0.58,1,1.96
0.7,2,2.15
5.26,1,0.0
0.87,1,2.26
2.0,1,0.0
0.8,2,0.0
1.27,2,2.82
2.2,0,2.0
1.76,2,2.56
1.02,1,1.76
2.06,1,2.46
3.31,1,2.0
2.13,1,1.38
0.7,4,0.0
0.81,2,1.76
8.2,3,0.0
18.4,1,7.0
1.07,1,0.0
12.97,1,9.08
0.42,1,0.0
2.99,1,0.0
1.38,1,2.66
1.5,1,2.25
0.87,1,0.0
6.11,5,5.68
3.6,1,4.66
3.61,3,4.06
1.2,1,0.0
1.48,1,1.75
18.38,5,10.0
3.1,1,3.75
0.74,1,2.06
0.67,1,2.16
3.21,1,3.96
0.33,1,0.0
3.67,1,4.56
0.9,1,1.25
1.58,1,3.58
1.49,4,0.54
1.66,1,1.43
0.65,2,2.06
1.3,1,1.95
1.2,1,2.16
1.2,1,0.0
0.65,1,2.16
0.6,1,0.0
0.68,1,1.0
0.89,1,0.0
3.5,1,3.66
1.96,1,2.0
3.11,1,3.46
0.8,1,2.16
2.03,1,3.06
0.77,1,0.0
2.2,1,0.0
1.02,2,2.06
1.9,1,1.85
3.54,1,4.26
11.23,1,0.0
0.89,4,1.0
0.77,1,0.93
1.37,1,2.6
2.6,4,3.26
0.8,2,0.0
2.99,1,3.36
17.4,4,16.45
1.27,1,1.13
1.87,1,0.0
1.02,1,2.16
2.93,1,1.0
1.74,1,1.0
19.19,1,11.06
2.1,1,2.75
2.23,1,2.56
4.22,2,0.0
1.23,5,2.06
0.52,2,1.56
0.98,1,2.06
3.0,1,0.0
0.89,1,2.2
2.6,1,3.35
0.9,3,1.96
0.57,1,1.17
3.35,2,2.84
1.64,2,3.45
0.4,5,1.0
1.07,1,2.16
3.37,3,0.0
0.83,1,1.76
0.9,1,2.0
1.1,2,1.65
0.88,2,0.0
0.6,1,1.7
1.2,1,2.05
1.18,2,1.0
3.1,1,0.0
1.6,1,2.15
13.0,2,0.0
4.0,1,5.3
1.65,1,2.56
1.0,1,1.85
0.37,1,1.56
3.29,6,0.0
1.16,1,2.32
1.4,2,1.0
3.9,2,3.66
1.34,2,2.26
8.79,1,5.96
1.6,1,1.0
1.9,2,0.0
3.2,2,2.0
0.61,1,1.0
13.49,3,0.0
1.55,1,2.66
2.08,1,1.0
1.2,2,2.15
14.12,2,10.45
1.33,1,0.0
9.14,1,6.66
3.34,1,3.56
0.87,1,2.49
6.95,1,0.0
2.81,1,0.0
1.51,1,0.0
1.52,1,0.0
4.39,2,2.0
0.39,1,0.0
2.35,1,2.36
1.2,1,0.0
0.2,2,0.0
2.3,2,2.56
2.89,1,3.06
4.8,1,0.0
18.88,1,7.0
1.4,1,0.0
12.0,2,10.7
1.0,1,0.0
1.5,1,0.0
10.44,2,0.0
1.55,1,2.26
0.94,6,0.0
0.79,1,0.0
0.58,1,0.0
0.9,1,1.65
1.7,4,0.0
1.42,1,2.36
0.8,1,1.75
3.0,3,0.0
2.3,1,0.0
0.45,1,2.19
1.2,1,1.54
1.03,1,1.0
2.82,1,2.37
0.44,1,0.0
1.7,1,1.0
0.91,2,1.66
1.3,1,2.82
2.67,1,0.0
3.49,1,2.96
0.6,1,1.55
1.3,1,0.0
0.98,5,1.76
1.19,2,0.0
0.43,3,1.5
1.64,1,0.0
1.21,1,1.76
1.4,2,1.77
3.02,1,0.0
1.06,2,1.0
0.41,1,1.36
2.17,1,2.66
1.7,1,1.0
10.41,4,0.0
1.7,3,2.45
3.0,2,3.35
2.8,5,3.16
0.97,2,6.0
1.5,1,0.0
0.6,0,2.3
4.72,1,2.75
1.0,1,1.85
1.08,2,1.2
1.64,5,0.0
0.9,4,2.0
4.03,1,3.56
0.85,1,1.0
1.37,1,0.0
4.94,2,4.46
1.3,1,2.55
0.84,1,0.0
1.0,0,2.9
0.51,1,1.46
20.36,1,12.28
5.9,2,3.5
1.4,1,0.0
1.74,1,2.56
1.3,1,0.0
0.8,1,2.05
0.12,1,0.0
3.0,2,0.0
1.1,1,0.0
1.9,2,2.55
1.1,1,1.96
1.53,3,0.0
3.98,2,3.56
1.27,2,2.06
2.15,1,2.66
1.84,2,2.16
0.7,2,0.0
0.56,2,0.0
0.8,1,0.0
0.76,1,1.56
1.0,1,1.0
1.0,1,0.0
1.41,1,0.0
1.4,1,2.15
0.7,1,1.5
2.65,1,0.0
1.37,1,1.96
1.17,2,0.0
4.1,1,4.06
4.4,4,0.0
1.61,1,2.16
0.66,1,1.56
1.88,1,2.46
3.73,1,4.16
1.84,1,2.0
1.27,1,1.4
0.8,1,2.2
0.04,1,0.0
4.9,2,3.0
1.1,3,0.0
2.81,1,3.06
3.29,1,2.0
1.03,1,1.96
0.7,1,1.65
8.4,1,6.3
2.7,1,3.26
1.09,1,2.32
1.34,1,2.36
0.78,5,1.96
1.4,1,0.0
9.4,1,5.22
2.65,1,0.0
0.6,1,1.95
0.76,1,1.96
1.4,1,2.0
0.5,1,0.0
0.55,1,1.76
2.39,1,4.29
2.09,1,2.86
1.31,2,0.0
3.1,1,0.0
1.72,1,2.36
1.3,2,0.0
13.33,1,0.0
3.11,2,4.78
3.7,1,0.0
1.7,4,3.15
1.57,1,2.36
1.2,1,2.05
1.82,3,0.0
1.88,1,2.56
1.46,5,0.0
1.82,1,1.0
0.8,1,0.0
3.33,2,3.56
2.98,1,0.0
0.0,1,5.0
1.91,1,2.2
0.84,2,2.79
1.34,3,2.16
1.19,1,3.24
2.1,2,3.55
1.88,1,2.86
2.0,2,2.95
0.64,3,0.0
10.3,1,0.0
0.56,1,1.76
1.91,2,1.0
2.89,1,4.2
25.2,1,0.0
2.96,1,3.26
0.75,5,1.4
1.3,1,2.46
7.81,1,4.0
0.77,1,1.0
2.09,2,0.0
4.48,1,0.0
2.29,2,1.0
5.58,3,1.0
7.02,1,0.0
1.0,1,1.5
1.2,3,2.25
2.67,5,2.96
1.13,1,2.06
4.9,1,0.0
4.14,2,2.0
1.05,2,1.76
2.05,1,2.0
1.59,2,2.06
0.4,1,0.0
6.7,2,5.65
8.34,1,0.0
7.88,1,2.78
1.0,1,1.85
0.9,1,1.76
10.3,1,7.0
4.43,1,3.36
5.39,5,0.0
0.5,1,0.0
2.2,1,1.95
0.7,2,1.65
3.9,1,0.0
24.73,1,0.0
0.46,1,1.46
1.6,2,0.0
2.11,1,0.0
0.73,6,1.56
3.9,1,0.0
4.61,1,0.0
1.9,0,2.0
1.76,1,2.45
1.7,4,0.0
2.4,1,2.85
8.84,1,5.0
4.0,3,2.0
0.9,1,1.76
1.41,1,0.0
1.31,1,0.0
